,ID,datetime,temperature,var1,pressure,windspeed,var2,electricity_consumption,ec,ws,hour,month,ec_shift
18,18,2013-07-01 18:00:00,-7.1,-16.4,1007.0,53.235,A,198.0,5.288267030694535,3.9747160747665693,18,7,5.3612921657094255
19,19,2013-07-01 19:00:00,-6.4,-16.4,996.0,56.365,A,213.0,5.3612921657094255,4.031848398496495,19,7,5.288267030694535
20,20,2013-07-01 20:00:00,-7.9,-17.1,997.0,59.87,A,216.0,5.375278407684165,4.092175544937261,20,7,5.288267030694535
21,21,2013-07-01 21:00:00,-6.4,-15.7,996.0,63.515,A,222.0,5.402677381872279,4.1512760984754244,21,7,5.3612921657094255
22,22,2013-07-01 22:00:00,-9.3,-15.7,1015.0,67.41,A,210.0,5.3471075307174685,4.210793374865347,22,7,5.375278407684165
23,23,2013-07-01 23:00:00,-10.0,-16.4,1012.0,72.08,A,216.0,5.375278407684165,4.277776613300082,23,7,5.402677381872279
24,24,2013-07-02 00:00:00,-8.6,-14.3,1003.0,76.35,A,210.0,5.3471075307174685,4.335328031664641,0,7,5.3471075307174685
25,25,2013-07-02 01:00:00,-7.9,-17.1,1011.0,5.77,A,231.0,5.442417710521793,1.7526720805200082,1,7,5.375278407684165
26,26,2013-07-02 02:00:00,-8.6,-14.3,1000.0,10.065,A,210.0,5.3471075307174685,2.309064059091755,2,7,5.3471075307174685
27,27,2013-07-02 03:00:00,-10.7,-15.7,997.0,5.52,A,213.0,5.3612921657094255,1.7083778602890038,3,7,5.442417710521793
28,28,2013-07-02 04:00:00,-10.7,-14.3,1016.0,4.77,A,204.0,5.318119993844216,1.5623463049002497,4,7,5.3471075307174685
29,29,2013-07-02 05:00:00,-8.6,-16.4,1015.0,9.665,A,222.0,5.402677381872279,2.268511112660294,5,7,5.3612921657094255
30,30,2013-07-02 06:00:00,-8.6,-17.9,1015.0,6.17,A,210.0,5.3471075307174685,1.8196988379172965,6,7,5.318119993844216
31,31,2013-07-02 07:00:00,-10.0,-17.9,1003.0,5.27,A,210.0,5.3471075307174685,1.6620303625532709,7,7,5.402677381872279
32,32,2013-07-02 08:00:00,-10.0,-17.1,1017.0,10.44,A,198.0,5.288267030694535,2.3456445824544927,8,7,5.3471075307174685
33,33,2013-07-02 09:00:00,-7.9,-17.9,1011.0,14.335,A,204.0,5.318119993844216,2.662704099335333,9,7,5.3471075307174685
34,34,2013-07-02 10:00:00,-7.1,-17.9,1005.0,18.23,A,225.0,5.41610040220442,2.9030685886905716,10,7,5.288267030694535
35,35,2013-07-02 11:00:00,-7.1,-13.6,1009.0,22.625,A,213.0,5.3612921657094255,3.11905548958599,11,7,5.318119993844216
36,36,2013-07-02 12:00:00,-7.1,-14.3,1016.0,25.005,A,204.0,5.318119993844216,3.219075804870867,12,7,5.41610040220442
37,37,2013-07-02 13:00:00,-3.6,-13.6,1001.0,2.415,A,237.0,5.4680601411351315,0.881699287104536,13,7,5.3612921657094255
38,38,2013-07-02 14:00:00,-5.0,-17.1,1005.0,4.305,A,210.0,5.3471075307174685,1.459777137879694,14,7,5.318119993844216
39,39,2013-07-02 15:00:00,-5.7,-15.0,1011.0,5.195,A,234.0,5.455321115357702,1.6476966245511908,15,7,5.4680601411351315
40,40,2013-07-02 16:00:00,-3.6,-16.4,1010.0,5.835,A,243.0,5.493061443340548,1.7638742657385194,16,7,5.3471075307174685
41,41,2013-07-02 17:00:00,-5.0,-17.1,999.0,6.225,A,234.0,5.455321115357702,1.8285734423507713,17,7,5.455321115357702
42,42,2013-07-02 18:00:00,-5.7,-17.1,1011.0,2.54,A,240.0,5.480638923341991,0.9321640810304452,18,7,5.493061443340548
43,43,2013-07-02 19:00:00,-7.9,-13.6,996.0,1.64,A,276.0,5.62040086571715,0.494696241836107,19,7,5.455321115357702
44,44,2013-07-02 20:00:00,-7.1,-14.3,1007.0,1.765,A,264.0,5.575949103146316,0.56815069038526,20,7,5.480638923341991
45,45,2013-07-02 21:00:00,-7.9,-15.0,995.0,2.39,A,270.0,5.598421958998375,0.8712933659434193,21,7,5.62040086571715
46,46,2013-07-02 22:00:00,-8.6,-13.6,1005.0,3.405,A,282.0,5.641907070938114,1.2252449396014757,22,7,5.575949103146316
47,47,2013-07-02 23:00:00,-8.6,-15.0,995.0,4.545,A,258.0,5.552959584921617,1.514027727629442,23,7,5.598421958998375
48,48,2013-07-03 00:00:00,-7.9,-15.7,1011.0,2.14,A,249.0,5.517452896464707,0.7608058290337602,0,7,5.641907070938114
49,49,2013-07-03 01:00:00,-8.6,-12.1,1002.0,3.28,A,270.0,5.598421958998375,1.1878434223960523,1,7,5.552959584921617
50,50,2013-07-03 02:00:00,-10.0,-14.3,996.0,4.295,A,288.0,5.662960480135946,1.4574515554362186,2,7,5.517452896464707
51,51,2013-07-03 03:00:00,-8.6,-12.9,1002.0,4.4350000000000005,A,348.0,5.8522024797744745,1.489527615761543,3,7,5.598421958998375
52,52,2013-07-03 04:00:00,-10.7,-13.6,1004.0,1.515,A,396.0,5.981414211254481,0.4154154389613324,4,7,5.662960480135946
53,53,2013-07-03 05:00:00,-10.7,-15.0,1005.0,1.64,A,414.0,6.025865973825314,0.494696241836107,5,7,5.8522024797744745
54,54,2013-07-03 06:00:00,-10.7,-12.1,995.0,2.765,A,381.0,5.942799375126701,1.0170406349742982,6,7,5.981414211254481
55,55,2013-07-03 07:00:00,-9.3,-15.0,999.0,2.015,A,411.0,6.018593214496234,0.7006191953986464,7,7,6.025865973825314
56,56,2013-07-03 08:00:00,-10.0,-15.7,999.0,4.555,A,381.0,5.942799375126701,1.5162255307119217,8,7,5.942799375126701
57,57,2013-07-03 09:00:00,-10.0,-12.1,995.0,1.765,A,324.0,5.780743515792329,0.56815069038526,9,7,6.018593214496234
58,58,2013-07-03 10:00:00,-7.1,-15.0,994.0,2.14,A,327.0,5.7899601708972535,0.7608058290337602,10,7,5.942799375126701
59,59,2013-07-03 11:00:00,-5.7,-10.7,994.0,2.39,A,300.0,5.703782474656201,0.8712933659434193,11,7,5.780743515792329
60,60,2013-07-03 12:00:00,-5.0,-12.9,1009.0,1.765,A,312.0,5.7430031878094825,0.56815069038526,12,7,5.7899601708972535
61,61,2013-07-03 13:00:00,-5.7,-12.9,1006.0,2.655,A,333.0,5.808142489980444,0.9764446546939021,13,7,5.703782474656201
62,62,2013-07-03 14:00:00,-3.6,-12.9,1004.0,4.295,A,372.0,5.918893854273146,1.4574515554362186,14,7,5.7430031878094825
63,63,2013-07-03 15:00:00,-5.0,-14.3,995.0,3.29,A,417.0,6.0330862217988015,1.1908875647772805,15,7,5.808142489980444
64,64,2013-07-03 16:00:00,-5.0,-14.3,999.0,2.14,A,423.0,6.0473721790462776,0.7608058290337602,16,7,5.918893854273146
65,65,2013-07-03 17:00:00,-7.1,-14.3,989.0,2.965,A,414.0,6.025865973825314,1.0868770324496888,17,7,6.0330862217988015
66,66,2013-07-03 18:00:00,-7.1,-12.9,1008.0,2.015,A,396.0,5.981414211254481,0.7006191953986464,18,7,6.0473721790462776
67,67,2013-07-03 19:00:00,-7.1,-14.3,996.0,3.405,A,486.0,6.186208623900494,1.2252449396014757,19,7,6.025865973825314
68,68,2013-07-03 20:00:00,-9.3,-15.0,1000.0,3.92,A,519.0,6.251903883165888,1.366091653802371,20,7,5.981414211254481
69,69,2013-07-03 21:00:00,-10.0,-15.7,1001.0,2.2,A,447.0,6.102558594613569,0.7884573603642703,21,7,6.186208623900494
70,70,2013-07-03 22:00:00,-9.3,-13.6,998.0,2.59,A,474.0,6.161207321695077,0.9516578757114463,22,7,6.251903883165888
71,71,2013-07-03 23:00:00,-10.7,-15.0,1009.0,2.79,A,459.0,6.129050210060545,1.0260415958332743,23,7,6.102558594613569
72,72,2013-07-04 00:00:00,-12.1,-12.1,993.0,3.43,A,462.0,6.135564891081739,1.2325602611778486,0,7,6.161207321695077
73,73,2013-07-04 01:00:00,-10.7,-12.9,998.0,1.45,A,504.0,6.222576268071369,0.371563556432483,1,7,6.129050210060545
74,74,2013-07-04 02:00:00,-11.4,-15.7,996.0,4.755,A,384.0,5.950642552587727,1.5591966959973536,2,7,6.135564891081739
75,75,2013-07-04 03:00:00,-9.3,-15.0,994.0,6.045,A,342.0,5.834810737062605,1.799231484066756,3,7,6.222576268071369
76,76,2013-07-04 04:00:00,-12.9,-15.7,993.0,6.935,A,276.0,5.62040086571715,1.936581053766795,4,7,5.950642552587727
77,77,2013-07-04 05:00:00,-12.1,-12.9,997.0,8.975,A,261.0,5.564520407322694,2.1944429343743423,5,7,5.834810737062605
78,78,2013-07-04 06:00:00,-12.1,-14.3,997.0,11.14,A,273.0,5.60947179518496,2.410542234499138,6,7,5.62040086571715
79,79,2013-07-04 07:00:00,-10.7,-14.3,1000.0,2.39,A,279.0,5.631211781821365,0.8712933659434193,7,7,5.564520407322694
80,80,2013-07-04 08:00:00,-12.9,-15.0,1001.0,3.165,A,240.0,5.480638923341991,1.1521530555961395,8,7,5.60947179518496
81,81,2013-07-04 09:00:00,-10.0,-12.1,996.0,2.915,A,273.0,5.60947179518496,1.0698698198024557,9,7,5.631211781821365
82,82,2013-07-04 10:00:00,-7.9,-12.9,995.0,2.39,A,276.0,5.62040086571715,0.8712933659434193,10,7,5.480638923341991
83,83,2013-07-04 11:00:00,-7.1,-12.9,998.0,2.53,A,312.0,5.7430031878094825,0.9282193027394288,11,7,5.60947179518496
84,84,2013-07-04 12:00:00,-6.4,-14.3,996.0,3.67,A,294.0,5.683579767338681,1.3001916620664788,12,7,5.62040086571715
85,85,2013-07-04 13:00:00,-4.3,-11.4,1005.0,5.4350000000000005,A,288.0,5.662960480135946,1.692859520573173,13,7,5.7430031878094825
86,86,2013-07-04 14:00:00,-3.6,-12.9,993.0,5.005,A,300.0,5.703782474656201,1.6104374127671839,14,7,5.683579767338681
87,87,2013-07-04 15:00:00,-2.9,-13.6,1000.0,10.815,A,303.0,5.713732805509369,2.380934059405022,15,7,5.662960480135946
88,88,2013-07-04 16:00:00,-3.6,-15.7,987.0,14.86,A,255.0,5.541263545158426,2.698673039289613,16,7,5.703782474656201
89,89,2013-07-04 17:00:00,-4.3,-15.0,1004.0,22.635,A,279.0,5.631211781821365,3.119497380887922,17,7,5.713732805509369
90,90,2013-07-04 18:00:00,-2.9,-15.0,986.0,29.935,A,270.0,5.598421958998375,3.3990283643773154,18,7,5.541263545158426
91,91,2013-07-04 19:00:00,-4.3,-13.6,1002.0,36.96,A,252.0,5.529429087511423,3.6098362467734835,19,7,5.631211781821365
92,92,2013-07-04 20:00:00,-6.4,-16.4,993.0,45.11,A,273.0,5.60947179518496,3.8091039514203047,20,7,5.598421958998375
93,93,2013-07-04 21:00:00,-4.3,-15.0,994.0,52.66,A,231.0,5.442417710521793,3.9638561540681634,21,7,5.529429087511423
94,94,2013-07-04 22:00:00,-6.4,-17.9,1000.0,59.435,A,246.0,5.5053315359323625,4.084883278432588,22,7,5.60947179518496
95,95,2013-07-04 23:00:00,-5.7,-15.0,1008.0,68.235,A,231.0,5.442417710521793,4.222957629690077,23,7,5.442417710521793
96,96,2013-07-05 00:00:00,-8.6,-15.7,993.0,77.425,A,228.0,5.429345628954441,4.349309725859267,0,7,5.5053315359323625
97,97,2013-07-05 01:00:00,-6.4,-16.4,997.0,86.255,A,210.0,5.3471075307174685,4.457308025245707,1,7,5.442417710521793
98,98,2013-07-05 02:00:00,-7.9,-18.6,991.0,95.96,A,213.0,5.3612921657094255,4.563931437971494,2,7,5.429345628954441
99,99,2013-07-05 03:00:00,-7.9,-17.9,991.0,105.9,A,213.0,5.3612921657094255,4.662495252607361,3,7,5.3471075307174685
100,100,2013-07-05 04:00:00,-7.9,-17.9,1009.0,114.09,A,231.0,5.442417710521793,4.736987610608278,4,7,5.3612921657094255
101,101,2013-07-05 05:00:00,-8.6,-18.6,1001.0,124.795,A,225.0,5.41610040220442,4.826672391030176,5,7,5.3612921657094255
102,102,2013-07-05 06:00:00,-10.0,-17.1,996.0,130.82,A,210.0,5.3471075307174685,4.8738223325330665,6,7,5.442417710521793
103,103,2013-07-05 07:00:00,-10.7,-19.3,1011.0,138.72,A,201.0,5.303304908059076,4.932457513032232,7,7,5.41610040220442
104,104,2013-07-05 08:00:00,-7.9,-17.9,1005.0,147.285,A,213.0,5.3612921657094255,4.992369485289363,8,7,5.3471075307174685
105,105,2013-07-05 09:00:00,-10.0,-17.1,1011.0,156.475,A,204.0,5.318119993844216,5.052896252810765,9,7,5.303304908059076
106,106,2013-07-05 10:00:00,-9.3,-19.3,996.0,165.79,A,204.0,5.318119993844216,5.110721927251374,10,7,5.3612921657094255
107,107,2013-07-05 11:00:00,-7.1,-18.6,1004.0,174.355,A,204.0,5.318119993844216,5.1610934506571144,11,7,5.318119993844216
108,108,2013-07-05 12:00:00,-7.9,-19.3,1003.0,184.185,A,198.0,5.288267030694535,5.215940687280586,12,7,5.318119993844216
109,109,2013-07-05 13:00:00,-6.4,-19.3,1003.0,193.5,A,210.0,5.3471075307174685,5.2652775124698366,13,7,5.318119993844216
110,110,2013-07-05 14:00:00,-5.0,-17.1,993.0,201.675,A,186.0,5.225746673713202,5.306657490823038,14,7,5.288267030694535
111,111,2013-07-05 15:00:00,-4.3,-15.7,993.0,210.615,A,192.0,5.2574953720277815,5.350031822234715,15,7,5.3471075307174685
112,112,2013-07-05 16:00:00,-6.4,-16.4,992.0,219.32,A,207.0,5.332718793265369,5.390531850535847,16,7,5.225746673713202
113,113,2013-07-05 17:00:00,-5.7,-17.1,1002.0,228.51,A,207.0,5.332718793265369,5.4315799730528065,17,7,5.2574953720277815
114,114,2013-07-05 18:00:00,-6.4,-17.9,1010.0,236.435,A,180.0,5.19295685089021,5.465673328718526,18,7,5.332718793265369
115,115,2013-07-05 19:00:00,-7.1,-15.0,1010.0,245.485,A,192.0,5.2574953720277815,5.503235845571573,19,7,5.332718793265369
116,116,2013-07-05 20:00:00,-6.4,-17.9,1005.0,253.3,A,192.0,5.2574953720277815,5.5345745570076295,20,7,5.19295685089021
117,117,2013-07-05 21:00:00,-6.4,-17.1,1014.0,260.95,A,192.0,5.2574953720277815,5.564328818089423,21,7,5.2574953720277815
118,118,2013-07-05 22:00:00,-7.1,-17.9,1002.0,268.1,A,231.0,5.442417710521793,5.591360045241914,22,7,5.2574953720277815
119,119,2013-07-05 23:00:00,-8.6,-18.6,1014.0,275.775,A,210.0,5.3471075307174685,5.619585315855446,23,7,5.2574953720277815
120,120,2013-07-06 00:00:00,-7.9,-17.1,1012.0,283.825,A,210.0,5.3471075307174685,5.648357851050597,0,7,5.442417710521793
121,121,2013-07-06 01:00:00,-7.9,-18.6,1002.0,289.51,A,204.0,5.318119993844216,5.668189838730813,1,7,5.3471075307174685
122,122,2013-07-06 02:00:00,-10.0,-19.3,1005.0,296.445,A,213.0,5.3612921657094255,5.691861703760507,2,7,5.3471075307174685
123,123,2013-07-06 03:00:00,-8.6,-16.4,1012.0,303.995,A,204.0,5.318119993844216,5.717011253902541,3,7,5.318119993844216
124,124,2013-07-06 04:00:00,-9.3,-17.1,1017.0,309.165,A,207.0,5.332718793265369,5.733875114963371,4,7,5.3612921657094255
125,125,2013-07-06 05:00:00,-10.7,-18.6,1007.0,314.085,A,186.0,5.225746673713202,5.74966364991239,5,7,5.318119993844216
126,126,2013-07-06 06:00:00,-9.3,-17.9,1001.0,319.005,A,186.0,5.225746673713202,5.7652067766432005,6,7,5.332718793265369
127,127,2013-07-06 07:00:00,-9.3,-18.6,1011.0,322.775,A,207.0,5.332718793265369,5.776955486060782,7,7,5.225746673713202
128,128,2013-07-06 08:00:00,-10.0,-19.3,1017.0,327.17,A,192.0,5.2574953720277815,5.790479913483513,8,7,5.225746673713202
129,129,2013-07-06 09:00:00,-7.1,-17.1,1009.0,334.195,A,195.0,5.272999558563747,5.811724654948238,9,7,5.332718793265369
130,130,2013-07-06 10:00:00,-7.1,-17.1,1013.0,343.135,A,186.0,5.225746673713202,5.8381239557371165,10,7,5.2574953720277815
131,131,2013-07-06 11:00:00,-5.7,-17.1,1014.0,351.825,A,201.0,5.303304908059076,5.863133892882631,11,7,5.272999558563747
132,132,2013-07-06 12:00:00,-4.3,-17.1,1014.0,360.89,A,192.0,5.2574953720277815,5.8885732027583435,12,7,5.225746673713202
133,133,2013-07-06 13:00:00,-4.3,-15.7,1007.0,368.955,A,216.0,5.375278407684165,5.91067468538436,13,7,5.303304908059076
134,134,2013-07-06 14:00:00,-3.6,-15.7,1013.0,379.02,A,204.0,5.318119993844216,5.937588974138664,14,7,5.2574953720277815
135,135,2013-07-06 15:00:00,-4.3,-17.1,1009.0,386.195,A,204.0,5.318119993844216,5.9563424232508435,15,7,5.375278407684165
136,136,2013-07-06 16:00:00,-6.4,-17.1,999.0,393.345,A,186.0,5.225746673713202,5.974687089368671,16,7,5.318119993844216
137,137,2013-07-06 17:00:00,-4.3,-15.7,1006.0,401.37,A,222.0,5.402677381872279,5.9948836951536375,17,7,5.318119993844216
138,138,2013-07-06 18:00:00,-5.7,-16.4,1013.0,407.645,A,195.0,5.272999558563747,6.010396697609928,18,7,5.225746673713202
139,139,2013-07-06 19:00:00,-5.0,-17.9,1011.0,414.455,A,201.0,5.303304908059076,6.0269644041462085,19,7,5.402677381872279
140,140,2013-07-06 20:00:00,-6.4,-14.3,1013.0,419.375,A,213.0,5.3612921657094255,6.038765507725946,20,7,5.272999558563747
141,141,2013-07-06 21:00:00,-9.3,-17.1,1002.0,423.42,A,198.0,5.288267030694535,6.048364594240794,21,7,5.303304908059076
142,142,2013-07-06 22:00:00,-7.9,-15.0,998.0,426.175,A,231.0,5.442417710521793,6.054850060036989,22,7,5.3612921657094255
143,143,2013-07-06 23:00:00,-9.3,-15.0,1005.0,431.32,A,213.0,5.3612921657094255,6.066850274013872,23,7,5.288267030694535
144,144,2013-07-07 00:00:00,-7.1,-17.1,1010.0,434.45,A,201.0,5.303304908059076,6.074080863285215,0,7,5.442417710521793
145,145,2013-07-07 01:00:00,-8.6,-15.7,1001.0,438.62,A,195.0,5.272999558563747,6.083633434579359,1,7,5.3612921657094255
146,146,2013-07-07 02:00:00,-10.0,-17.9,1003.0,443.015,A,201.0,5.303304908059076,6.093603629517044,2,7,5.303304908059076
147,147,2013-07-07 03:00:00,-10.0,-15.0,1001.0,447.535,A,210.0,5.3471075307174685,6.103754746946991,3,7,5.272999558563747
148,148,2013-07-07 04:00:00,-10.0,-15.0,998.0,5.395,A,204.0,5.318119993844216,1.6854725987100978,4,7,5.303304908059076
149,149,2013-07-07 05:00:00,-12.9,-17.9,996.0,5.645,A,192.0,5.2574953720277815,1.7307701976016252,5,7,5.3471075307174685
150,150,2013-07-07 06:00:00,-12.9,-18.6,1010.0,9.025,A,213.0,5.3612921657094255,2.1999985042189447,6,7,5.318119993844216
151,151,2013-07-07 07:00:00,-11.4,-18.6,1007.0,12.03,A,216.0,5.375278407684165,2.4874035299865875,7,7,5.2574953720277815
152,152,2013-07-07 08:00:00,-10.0,-18.6,1003.0,15.16,A,228.0,5.429345628954441,2.7186603802142257,8,7,5.3612921657094255
153,153,2013-07-07 09:00:00,-7.1,-15.7,996.0,19.055,A,225.0,5.41610040220442,2.9473295343258235,9,7,5.375278407684165
154,154,2013-07-07 10:00:00,-7.9,-17.9,1000.0,23.725,A,234.0,5.455321115357702,3.1665293444959914,10,7,5.429345628954441
155,155,2013-07-07 11:00:00,-5.7,-17.9,1008.0,26.605,A,231.0,5.442417710521793,3.281099168048333,11,7,5.41610040220442
156,156,2013-07-07 12:00:00,-5.0,-14.3,998.0,28.02,A,240.0,5.480638923341991,3.332918540908861,12,7,5.455321115357702
157,157,2013-07-07 13:00:00,-5.0,-15.0,996.0,2.515,A,261.0,5.564520407322694,0.9222728035517026,13,7,5.442417710521793
158,158,2013-07-07 14:00:00,-3.6,-17.9,1000.0,3.68,A,258.0,5.552959584921617,1.3029127521808397,14,7,5.480638923341991
159,159,2013-07-07 15:00:00,-2.1,-14.3,997.0,2.915,A,270.0,5.598421958998375,1.0698698198024557,15,7,5.564520407322694
160,160,2013-07-07 16:00:00,-5.0,-17.9,995.0,6.17,A,270.0,5.598421958998375,1.8196988379172965,16,7,5.552959584921617
161,161,2013-07-07 17:00:00,-5.0,-15.7,994.0,8.8,A,237.0,5.4680601411351315,2.174751721484161,17,7,5.598421958998375
162,162,2013-07-07 18:00:00,-5.0,-16.4,992.0,13.695,A,270.0,5.598421958998375,2.6170308027150413,18,7,5.598421958998375
163,163,2013-07-07 19:00:00,-5.7,-16.4,988.0,15.825,A,270.0,5.598421958998375,2.76159096803024,19,7,5.4680601411351315
164,164,2013-07-07 20:00:00,-5.0,-13.6,1003.0,19.205,A,273.0,5.60947179518496,2.955170661797868,20,7,5.598421958998375
165,165,2013-07-07 21:00:00,-7.1,-17.1,986.0,20.22,A,294.0,5.683579767338681,3.006672213592325,21,7,5.598421958998375
166,166,2013-07-07 22:00:00,-7.9,-12.9,989.0,2.765,A,282.0,5.641907070938114,1.0170406349742982,22,7,5.60947179518496
167,167,2013-07-07 23:00:00,-7.9,-15.0,997.0,3.28,A,306.0,5.723585101952381,1.1878434223960523,23,7,5.683579767338681
168,168,2013-07-08 00:00:00,-9.3,-14.3,1001.0,2.015,A,330.0,5.799092654460526,0.7006191953986464,0,7,5.641907070938114
169,169,2013-07-08 01:00:00,-7.9,-13.6,998.0,3.305,A,348.0,5.8522024797744745,1.1954364733036495,1,7,5.723585101952381
170,170,2013-07-08 02:00:00,-9.3,-14.3,1000.0,2.64,A,384.0,5.950642552587727,0.9707789171582248,2,7,5.799092654460526
171,171,2013-07-08 03:00:00,-10.0,-12.1,997.0,2.64,A,372.0,5.918893854273146,0.9707789171582248,3,7,5.8522024797744745
172,172,2013-07-08 04:00:00,-8.6,-15.7,1001.0,3.555,A,378.0,5.934894195619588,1.2683550632552043,4,7,5.950642552587727
173,173,2013-07-08 05:00:00,-7.9,-14.3,985.0,6.435,A,405.0,6.003887067106539,1.86175184104809,5,7,5.918893854273146
174,174,2013-07-08 06:00:00,-7.1,-14.3,987.0,10.19,A,342.0,5.834810737062605,2.321406847234633,6,7,5.934894195619588
175,175,2013-07-08 07:00:00,-6.4,-13.6,993.0,14.735,A,279.0,5.631211781821365,2.690225616189658,7,7,6.003887067106539
176,176,2013-07-08 08:00:00,-7.1,-15.0,994.0,20.03,A,228.0,5.429345628954441,2.997231149677727,8,7,5.834810737062605
177,177,2013-07-08 09:00:00,-7.1,-15.0,994.0,27.68,A,207.0,5.332718793265369,3.3207101307494686,9,7,5.631211781821365
178,178,2013-07-08 10:00:00,-5.0,-14.3,1006.0,36.12,A,189.0,5.241747015059643,3.5868467285487844,10,7,5.429345628954441
179,179,2013-07-08 11:00:00,-5.0,-14.3,1001.0,46.8,A,213.0,5.3612921657094255,3.845883202923601,11,7,5.332718793265369
180,180,2013-07-08 12:00:00,-5.0,-15.7,1007.0,56.115,A,201.0,5.303304908059076,4.027403156468219,12,7,5.241747015059643
181,181,2013-07-08 13:00:00,-4.3,-16.4,994.0,64.555,A,210.0,5.3471075307174685,4.167517573626682,13,7,5.3612921657094255
182,182,2013-07-08 14:00:00,-4.3,-16.4,1003.0,75.26,A,210.0,5.3471075307174685,4.3209487851652915,14,7,5.303304908059076
183,183,2013-07-08 15:00:00,-5.7,-15.7,994.0,84.965,A,189.0,5.241747015059643,4.442239406986069,15,7,5.3471075307174685
184,184,2013-07-08 16:00:00,-5.0,-17.1,994.0,94.795,A,213.0,5.3612921657094255,4.551716665254002,16,7,5.3471075307174685
185,185,2013-07-08 17:00:00,-5.0,-14.3,1004.0,102.97,A,210.0,5.3471075307174685,4.63443768366866,17,7,5.241747015059643
186,186,2013-07-08 18:00:00,-5.0,-16.4,1007.0,112.3,A,222.0,5.402677381872279,4.721173861744398,18,7,5.3612921657094255
187,187,2013-07-08 19:00:00,-5.7,-17.9,1003.0,122.255,A,204.0,5.318119993844216,4.8061090273141085,19,7,5.3471075307174685
188,188,2013-07-08 20:00:00,-5.0,-18.6,994.0,139.745,A,204.0,5.318119993844216,4.939819333219841,20,7,5.402677381872279
189,189,2013-07-08 21:00:00,-7.9,-17.9,1003.0,152.08,A,222.0,5.402677381872279,5.024406698180174,21,7,5.318119993844216
190,190,2013-07-08 22:00:00,-7.9,-19.3,1003.0,161.535,A,222.0,5.402677381872279,5.084721837448954,22,7,5.318119993844216
191,191,2013-07-08 23:00:00,-8.6,-20.7,1000.0,173.855,A,216.0,5.375278407684165,5.1582216184659515,23,7,5.402677381872279
192,192,2013-07-09 00:00:00,-9.3,-17.1,998.0,184.91,A,201.0,5.303304908059076,5.219869220218895,0,7,5.402677381872279
193,193,2013-07-09 01:00:00,-9.3,-20.0,1011.0,198.37,A,195.0,5.272999558563747,5.2901339737400175,1,7,5.375278407684165
194,194,2013-07-09 02:00:00,-10.0,-18.6,997.0,210.69,A,213.0,5.3612921657094255,5.350387858839039,2,7,5.303304908059076
195,195,2013-07-09 03:00:00,-8.6,-18.6,1001.0,221.87,A,201.0,5.303304908059076,5.402091624764491,3,7,5.272999558563747
